points in microwave oven;power density  at 5cm;power density  at 15cm;Power density  at 30cm;
point 1;528.3;432;489;
point 2;491.8;700;433.8;
point 3;472;427;350.6;
point 4;700;700;550;
point 5;700;700;530;
point 6;431.5;305;418;
point 7;503;375;530;
point 8;420.4;433;700;
point 9;700;700;413;
point 10;700;700;472.8;
point 11;539.3;700;260;
point 12;700;377;535.8;
point 13;700;550.8;301.9;
point 14;700;700;303;
point 15;700;700;307;
point 16;700;700;283;
point 17;700;461.2;523.3;
point 18;700;436;472.8;
point 19;700;700;700;
point 20;700;352.6;700;
